,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,City,CountyName,Metro,NumBeds,RegionName,SizeRank,State
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500.0,3300.0,3099.0,2897.5,2515.0,2250.0,2250.0,2250.0,2200.0,2220.0,2250.0,2295.0,2275.0,2200.0,2195.0,2100.0,2150.0,2100.0,2150.0,2175.0,2145.0,2195.0,2200.0,2250.0,2300.0,2299.5,2204.0,2200.0,2200.0,2200.0,2195.0,2200.0,2225.0,2200.0,2200.0,2300.0,2299.0,2300.0,2310.0,2300.0,2300.0,2300.0,2299.0,2299.0,2300.0,2550.0,2500.0,2607.5,2650.0,2625.0,2650.0,2625.0,2600.0,2650.0,2735.0,2750.0,2795.0,2750.0,2750.0,2800.0,2778.5,2795.0,2775.0,2730.0,2795.0,2750.0,2700.0,2705.0,2650.0,2580.0,2565.0,2595.0,2620.0,2668.5,2499.5,2632.5,2700.0,2675.0,2650.0,2695.0,2695.0,2742.5,2695.0,2695.0,2650.0,2675.0,2703.0,2700.0,2715.0,2710.0,2700.0,2737.5,2705.0,2700.0,2673.5,2650.0,New York,New York,New York-Newark-Jersey City,0,Upper West Side,2,NY
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,1900.0,1895.0,1850.0,1895.0,1895.0,1875.0,1899.0,1899.0,1875.0,1890.0,1895.0,1900.0,1895.0,1895.0,1895.0,1850.0,1895.0,1885.0,1875.0,1895.0,1895.0,1895.0,1900.0,1925.0,1950.0,1950.0,1900.0,1925.0,1949.0,1950.0,1950.0,1950.0,2075.0,2095.0,2050.0,2050.0,2095.0,2100.0,2150.0,2185.0,2162.5,2200.0,2195.0,2195.0,2195.0,2200.0,2250.0,2290.0,2250.0,2200.0,2250.0,2250.0,2275.0,2200.0,2190.0,2100.0,2099.0,2095.0,2095.0,2100.0,2150.0,2050.0,2110.0,2190.0,2250.0,2250.0,2275.0,2290.5,2250.0,2190.0,2195.0,2150.0,2150.0,2150.0,2150.0,2175.0,2195.0,2195.0,2200.0,2225.0,2200.0,2195.0,2200.0,New York,New York,New York-Newark-Jersey City,0,Upper East Side,3,NY
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1425.0,1400.0,1400.0,1475.0,1575.0,1525.0,1500.0,1562.5,1587.5,1600.0,1550.0,1575.0,1600.0,1625.0,1600.0,1600.0,1575.0,1500.0,1575.0,1600.0,1650.0,1650.0,1600.0,1600.0,1650.0,1700.0,1550.0,1525.0,1700.0,1625.0,1650.0,1700.0,1799.5,1800.0,1850.0,1850.0,1900.0,1927.0,1950.0,1938.5,1725.0,1649.0,1800.0,1850.0,1900.0,1927.0,2000.0,2000.0,1800.0,2100.0,1900.0,1995.0,2100.0,1900.0,1900.0,1963.5,1697.5,1850.5,1938.5,2000.0,2000.0,1927.0,2000.0,1951.0,2000.0,2000.0,2000.0,2100.0,2100.0,2100.0,2100.0,2100.0,2100.0,2095.0,2300.0,2200.0,2200.0,New York,Kings,New York-Newark-Jersey City,0,East New York,4,NY
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.0,1195.0,1185.0,1175.0,1197.5,1140.0,1195.0,1175.0,1162.5,1150.0,1150.0,1195.0,1195.0,1200.0,1225.0,1297.5,1275.0,1275.0,1250.0,1250.0,1250.0,1250.0,1250.0,1275.0,1295.0,1295.0,1295.0,1292.5,1295.0,1349.0,1395.0,1395.0,1350.0,1350.0,1350.0,1375.0,1395.0,1395.0,1395.0,1395.0,1350.0,1395.0,1375.0,1350.0,1350.0,1371.0,1400.0,1450.0,1450.0,1400.0,1400.0,1450.0,1450.0,1450.0,1495.0,1495.0,1449.5,1400.0,1449.5,1450.0,1450.0,1412.5,1399.5,1400.0,1450.0,1450.0,1450.0,1399.0,1462.5,1400.0,1500.0,1500.0,1500.0,1550.0,1600.0,1600.0,1585.0,1595.0,1595.0,1645.0,1585.0,1650.0,1650.0,1600.0,1600.0,1675.0,1685.0,1650.0,1645.0,1600.0,1645.0,New York,New York,New York-Newark-Jersey City,0,Washington Heights,6,NY
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350.0,1550.0,1625.0,1550.0,1550.0,1600.0,1600.0,1550.0,1650.0,1795.0,1800.0,1800.0,1800.0,1800.0,1800.0,1650.0,1700.0,1800.0,1787.0,1800.0,1800.0,1910.0,1900.0,1837.5,1800.0,1800.0,1800.0,1800.0,1850.0,2000.0,2000.0,1990.0,2010.0,2000.0,2000.0,2000.0,1995.0,1950.0,2000.0,2025.0,2100.0,2100.0,2175.0,2147.5,2150.0,2100.0,2150.0,2147.5,2100.0,2050.0,2000.0,2000.0,2095.0,2050.0,2150.0,2100.0,2050.0,2150.0,2095.0,2100.0,1950.0,2000.0,2000.0,1900.0,1800.0,1950.0,1900.0,2025.0,1895.0,1900.0,1837.0,1950.0,2000.0,2000.0,1984.0,2000.0,1995.0,2012.5,2061.0,2000.0,2100.0,2100.0,New York,Queens,New York-Newark-Jersey City,0,Astoria,9,NY
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,1800.0,1800.0,1750.0,1750.0,1875.0,1999.5,1997.0,1950.0,1950.0,1950.0,1895.0,2023.0,1980.0,1950.0,1800.0,1800.0,1900.0,1999.0,2050.0,2169.0,New York,Kings,New York-Newark-Jersey City,0,Bedford Stuyvesant,11,NY
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905.0,2550.0,2600.0,2454.0,2497.5,2400.0,2299.5,2600.0,2400.0,2600.0,2600.0,2600.0,2400.0,2400.0,2400.0,2400.0,2500.0,2600.0,2525.0,2600.0,2600.0,2500.0,2549.0,2595.0,2637.5,2649.0,2595.0,2595.0,2625.0,2700.0,2650.0,2650.0,2650.0,2600.0,2595.0,2600.0,2600.0,2600.0,2698.5,2700.0,2677.5,2650.0,2711.0,2700.0,2700.0,2750.0,2750.0,2843.0,2865.0,2975.0,2950.0,2950.0,2945.0,2945.0,2894.0,2888.0,2850.0,2787.5,2850.0,2754.0,2797.5,2850.0,2848.0,2749.0,2806.0,2750.0,2654.0,3100.0,2849.0,2772.5,2800.0,2850.0,2900.0,2900.0,2900.0,2900.0,2840.0,2805.0,2807.0,2752.5,2750.0,2765.0,2795.0,2780.0,2788.0,2800.0,2856.5,2805.0,New York,Kings,New York-Newark-Jersey City,0,Williamsburg,12,NY
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,1050.0,1050.0,1100.0,1150.0,1112.5,1150.0,1150.0,1150.0,1125.0,1125.0,1100.0,1150.0,1150.0,1225.0,1250.0,1225.0,1250.0,1325.0,1300.0,1300.0,1300.0,1450.0,1500.0,1395.0,1375.0,1365.0,1350.0,1350.0,1350.0,1337.5,1395.0,1375.0,1375.0,1375.0,1400.0,1450.0,1475.0,1450.0,1450.0,1475.0,1450.0,1475.0,1400.0,1400.0,1400.0,1550.0,1575.0,1575.0,1600.0,1475.0,1550.0,1500.0,1600.0,1650.0,1695.0,1625.0,1700.0,1675.0,1675.0,1625.0,1749.5,1550.0,1550.0,1525.0,1475.0,1475.0,1475.0,1500.0,1500.0,1493.5,1500.0,1475.0,1437.5,1472.5,1595.0,1550.0,1550.0,1525.0,1550.0,1550.0,1600.0,1600.0,1600.0,New York,Kings,New York-Newark-Jersey City,0,Flatbush,15,NY
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,1550.0,1395.0,1499.0,1400.0,1400.0,1500.0,1500.0,1450.0,1425.0,1300.0,1300.5,1300.0,1500.0,1500.0,1500.0,1500.0,1550.0,1600.0,1695.0,1695.0,1700.0,1750.0,1800.0,1800.0,1650.0,1650.0,1650.0,1750.0,1650.0,1600.0,1600.0,1600.0,1800.0,1700.0,1775.0,2000.0,1850.0,1800.0,1800.0,1875.0,1800.0,1862.5,1950.0,2099.5,2100.0,2199.0,2100.0,2100.0,2200.0,2124.0,2000.0,2100.0,2007.0,2000.0,2014.0,2000.0,2097.0,2000.0,1925.0,1850.0,1950.0,2025.0,1875.0,1965.0,1737.5,1799.0,1700.0,1700.0,1795.0,1750.0,1750.0,1999.0,1970.0,1900.0,1995.0,1997.0,1900.0,1870.0,1975.0,1900.0,1833.0,1885.0,1872.5,2000.0,New York,Kings,New York-Newark-Jersey City,0,Crown Heights,17,NY
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,1600.0,1600.0,1600.0,1600.0,1550.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1537.5,1500.0,1550.0,1500.0,1500.0,1500.0,1389.5,1400.0,1325.0,1325.0,1350.0,1300.0,1300.0,1325.0,1300.0,1218.0,1395.0,1395.0,1375.0,1395.0,1385.0,1325.0,1385.0,1350.0,1325.0,1300.0,1337.5,1350.0,1357.0,1396.0,1426.5,1448.0,1450.0,1450.0,1450.0,1425.0,1450.0,1475.0,1550.0,1525.0,1495.0,1499.0,1550.0,1525.0,1500.0,1500.0,1500.0,1500.0,1551.0,1495.0,1550.0,1450.0,1409.0,1500.0,1486.0,1407.0,1494.5,1425.0,1602.0,1400.0,1450.0,1500.0,1650.0,1500.0,1520.0,1499.0,1499.0,1512.5,1499.5,1500.0,1700.0,1600.0,1529.0,1599.0,1700.0,1600.0,1600.0,1559.5,1500.0,1550.0,1775.0,New York,Queens,New York-Newark-Jersey City,0,Jamaica,18,NY
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,1650.0,1400.0,1525.0,1350.0,1295.0,1295.0,1275.0,1295.0,1275.0,1295.0,1350.0,1425.0,1500.0,1500.0,1495.0,1295.0,1350.0,1315.0,1300.0,1300.0,1325.0,1300.0,1350.0,1420.0,1455.0,1450.0,1550.0,1500.0,1495.0,1500.0,1475.0,1450.0,1450.0,1450.0,1500.0,1500.0,1475.0,1499.0,1595.0,1605.0,1600.0,1600.0,1600.0,1617.5,1665.0,1650.0,1675.0,1675.0,1750.0,1800.0,1697.0,1662.5,1712.5,1687.0,1797.5,1699.0,1672.5,1650.0,1665.0,1695.0,1650.0,1667.5,1664.0,1665.0,1665.0,1650.0,1700.0,1750.0,1700.0,1725.0,1775.0,1775.0,1750.0,1800.0,1800.0,1750.0,1675.0,1695.0,1750.0,1695.0,1750.0,1795.0,1800.0,1850.0,1812.5,1840.0,1850.0,New York,New York,New York-Newark-Jersey City,0,Harlem,19,NY
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1325.0,1300.0,1300.0,1250.0,1295.0,1300.0,1312.5,1437.5,1375.0,1400.0,1400.0,1399.0,1395.0,1395.0,1525.0,1525.0,1487.5,1500.0,1687.5,1725.0,1800.0,1800.0,1550.0,New York,Bronx,New York-Newark-Jersey City,0,Williamsbridge,20,NY
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,1900.0,1650.0,1688.0,1650.0,1650.0,1710.0,1870.0,1900.0,2000.0,1850.0,1999.0,1995.0,2250.0,1950.0,1800.0,1800.0,1800.0,1900.0,1887.5,1900.0,2200.0,2400.0,2450.0,2300.0,2349.0,2300.0,2300.0,2300.0,2275.0,2450.0,2475.0,2650.0,2697.5,2700.0,2700.0,2650.0,2615.5,2672.5,2700.0,2650.0,2650.0,2650.0,2700.0,2700.0,2650.0,2600.0,2650.0,2650.0,2600.0,2550.0,2650.0,2700.0,2695.0,2700.0,2650.0,2672.5,2700.0,2700.0,2700.0,2700.0,2672.5,2700.0,2650.0,2637.5,2650.0,2650.0,2600.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2650.0,2700.0,2650.0,2650.0,2650.0,2650.0,2597.5,2650.0,New York,New York,New York-Newark-Jersey City,0,East Harlem,21,NY
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889.5,1879.0,1975.0,1950.0,2099.0,2190.0,2200.0,2250.0,2200.0,2200.0,2200.0,2290.0,2075.0,2152.0,2200.0,2200.0,2172.5,2150.0,2200.0,2150.0,New York,Kings,New York-Newark-Jersey City,0,Bushwick,24,NY
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1850.0,1875.0,1672.5,1600.0,1850.0,1800.0,1750.0,1850.0,1797.5,1800.0,1875.0,1875.0,1875.0,1875.0,1850.0,1850.0,1795.0,1695.0,1700.0,1700.0,1662.5,1850.0,1850.0,1850.0,New York,Kings,New York-Newark-Jersey City,0,East Flatbush,25,NY
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1522.5,1535.0,1550.0,1540.0,1515.0,1500.0,1726.0,1512.5,1565.0,1510.0,1585.0,1550.0,1787.5,1950.0,1878.0,1602.5,1570.0,1750.0,1950.0,1900.0,1850.0,New York,Queens,New York-Newark-Jersey City,0,Corona,27,NY
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1300.0,1325.0,1325.0,1350.0,1312.5,1325.0,1287.0,1275.0,1350.0,1350.0,1325.0,1350.0,1350.0,1300.0,1312.5,1400.0,1450.0,1425.0,1425.0,1375.0,1375.0,New York,Bronx,New York-Newark-Jersey City,0,Concourse,28,NY
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,1900.0,1800.0,1750.0,1750.0,1785.0,1850.0,1800.0,1650.0,1700.0,1775.0,1800.0,1900.0,1950.0,New York,Kings,New York-Newark-Jersey City,0,Bensonhurst,29,NY
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1297.5,1197.5,1195.0,1175.0,1200.0,1195.0,1195.0,1195.0,1225.0,1212.5,1225.0,1225.0,1215.0,1250.0,1250.0,1252.5,1300.0,1295.0,1275.0,1285.0,1250.0,1250.0,1275.0,1290.0,1300.0,1300.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1400.0,1400.0,1400.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1475.0,1450.0,1450.0,1500.0,1525.0,1550.0,1525.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1550.0,1545.0,1550.0,1550.0,1650.0,1497.0,1600.0,1600.0,1600.0,1582.0,1575.0,1500.0,1625.0,1600.0,1695.0,1600.0,1575.0,1500.0,1450.0,1475.0,1592.5,1650.0,1650.0,1645.0,1550.0,1549.0,1565.0,1595.0,1655.0,New York,Queens,New York-Newark-Jersey City,0,Elmhurst,32,NY
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,1797.5,1700.0,1600.0,1797.5,1750.0,1700.0,1750.0,1675.0,1600.0,1700.0,1600.0,1750.0,1700.0,1600.0,New York,Kings,New York-Newark-Jersey City,0,Sheepshead Bay,35,NY
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2972.5,2950.0,2725.0,2500.0,2400.0,2500.0,2700.0,2500.0,2500.0,2692.5,2600.0,2500.0,2500.0,2670.0,2700.0,2600.0,2425.0,2425.0,2495.0,2272.5,2297.5,2400.0,2350.0,2250.0,2172.5,2300.0,2600.0,2500.0,2500.0,2495.0,2325.0,2395.0,2424.5,2399.0,2287.5,2215.0,2408.0,2295.0,2197.0,2200.0,2300.0,2500.0,2497.5,2295.0,2337.5,2350.0,New York,New York,New York-Newark-Jersey City,0,Lower East Side,39,NY
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.0,1950.0,2000.0,2100.0,2100.0,2150.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2200.0,New York,Queens,New York-Newark-Jersey City,0,Flushing,41,NY
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995.0,1995.0,2100.0,2000.0,2100.0,2200.0,2000.0,2200.0,2000.0,1900.0,1950.0,2300.0,2200.0,New York,Queens,New York-Newark-Jersey City,0,South Ozone Park,42,NY
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1675.0,1650.0,1750.0,1750.0,1700.0,1700.0,1510.0,1450.0,1450.0,1300.0,1500.0,1500.0,1592.5,1567.5,1500.0,1350.0,1280.0,1237.5,1300.0,1312.5,1300.0,1300.0,1300.0,1300.0,1312.5,1300.0,1300.0,1297.5,1325.0,1300.0,1350.0,1450.0,1395.0,1350.0,1350.0,1350.0,1350.0,1350.0,1350.0,1400.0,1400.0,1447.5,1650.0,1497.5,1447.5,1400.0,1400.0,1450.0,1475.0,1450.0,1500.0,1450.0,1495.0,1495.0,1550.0,1550.0,1545.0,1450.0,1400.0,1450.0,1450.0,1450.0,1450.0,1637.5,1450.0,1550.0,1550.0,1650.0,1720.0,2000.0,1875.0,1925.0,1850.0,1800.0,2000.0,1775.0,1700.0,1700.0,1750.0,1712.5,1700.0,1700.0,1800.0,1850.0,2000.0,1850.0,1750.0,1800.0,1800.0,2000.0,2095.0,2000.0,New York,Queens,New York-Newark-Jersey City,0,Murray Hill,45,NY
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1625.0,1550.0,1650.0,1697.5,1600.0,1600.0,1700.0,1580.0,1312.5,1300.0,1300.0,1325.0,1325.0,1350.0,1350.0,1400.0,1400.0,1400.0,1397.5,1400.0,1400.0,1395.0,1372.5,1400.0,1400.0,1425.0,1425.0,1445.0,1450.0,1450.0,1482.0,1500.0,1500.0,1550.0,1475.0,1475.0,1450.0,1450.0,1565.0,1500.0,1550.0,1550.0,1550.0,1525.0,1525.0,1500.0,1500.0,1525.0,1500.0,1500.0,1500.0,1550.0,1575.0,1600.0,1575.0,1625.0,1650.0,1650.0,1600.0,1600.0,1600.0,1625.0,1600.0,1600.0,1675.0,1600.0,1650.0,1600.0,1600.0,1550.0,1575.0,1625.0,1600.0,1600.0,1675.0,1697.5,1650.0,1675.0,1700.0,1675.0,1675.0,1700.0,1675.0,1750.0,1800.0,1797.5,1750.0,1785.0,1712.0,1900.0,1950.0,New York,Queens,New York-Newark-Jersey City,0,Forest Hills,47,NY
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.0,1899.5,1900.0,1925.0,1950.0,1925.0,1945.0,1925.0,1925.0,1950.0,1995.0,2000.0,2000.0,2000.0,2000.0,1999.0,1995.0,2000.0,2095.0,2025.0,2000.0,2000.0,2095.0,2000.0,2000.0,2000.0,2075.0,2050.0,2090.0,2100.0,2100.0,2100.0,2100.0,2195.0,2195.0,2195.0,2150.0,2195.0,2155.0,2195.0,2150.0,2200.0,2195.0,2200.0,2175.0,2225.0,2200.0,2200.0,2195.0,2195.0,2150.0,2195.0,2200.0,2200.0,2150.0,2176.5,2165.0,2195.0,2200.0,2200.0,2200.0,2225.0,2200.0,2200.0,2225.0,2175.0,2200.0,2195.0,2175.0,2225.0,2212.5,2250.0,2244.5,2200.0,2250.0,2295.0,2225.0,2200.0,2200.0,2200.0,2225.0,2215.0,2200.0,2200.0,2245.0,2250.0,2249.5,2200.0,2287.5,2200.0,New York,New York,New York-Newark-Jersey City,0,East Village,50,NY
